"","partner","Hosts","IDPs","Refugees"
"1","Bangladesh Plan International",0.0666704157379195,0,0.0247694321179526
"2","Bangladesh World Vision",0.0164950614506861,0,0.0736462444530787
"3","Burkina Faso ChildFund",0.00984131203860862,0.0393652481544345,0
"4","Burkina Faso Terre des Hommes",0.0088035009509008,0.0352140038036032,0
"5","CAR Plan International",0.0755429336823378,0.00452955972270506,0
"6","CAR SOS",0.0733190527801068,0.00111705282100571,0
"7","Colombia SOS",0.00364000736181264,0.0223078260158279,0.0092508333162921
"8","Colombia Terre des Hommes",0.00648504120570131,0.0362492587063659,0
"9","Ethiopia ChildFund",0.120674935072902,0.0171264391321241,0
"10","Ethiopia Save the Children",0.0506942598310873,0.0789196539948058,0
"11","South Sudan Save the Children",0.0309400625754075,0.0539610641909163,0
"12","South Sudan World Vision",0.0646714791108566,0.0757653217725609,0
